Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Valor de mercado,Vencimiento contrato,Partidos jugados,Minutos jugados,Goles,xG,Asistencias,xA,Duelos/90,"Duelos ganados, %",País de nacimiento,Pasaporte,Pie,Altura,Peso,En préstamo,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Centros desde la banda izquierda/90,"Precisión centros desde la banda izquierda, %",Centros desde la banda derecha/90,"Precisión centros desde la banda derecha, %",Centros al área pequeña/90,Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases cortos / medios /90,"Precisión pases cortos / medios, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90.1,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90.1,Tiros libres/90,Tiros libres directos/90,"Tiros libres directos, %",Córneres/90,Penaltis a favor,"Penaltis realizados, %",Temporada,pos_primaria,grupo,cluster,arquetipo,distancia_centroide,pureza_arquetipo,pca1,pca2
Edgar Méndez,Deportivo Alavés,Deportivo Alavés,"RW, RAMF, CF",36,500000,2026-06-30,32,1754,1,2.15,1,2.66,24.58,41.13,Spain,Spain,derecho,187,78,no,5.85,6.57,50.0,4.77,48.39,0.36,0.44,0.1,2.21,2.69,2.51,6,0.31,0,0.0,2.98,0.05,1,0.05,0.11,0,0.0,24,1.23,33.33,4.167,0.05,3.34,33.85,0.46,33.33,2.87,33.93,0.1,2.92,49.12,8.11,39.24,1.9,0.72,0.46,11.39,2.51,1.54,20.01,65.9,4.1,52.5,4.0,89.74,7.39,63.89,14.73,75.96,2.26,40.91,20.18,32.06,0.14,1.03,0.0,0.0,0.1,0.0,0.56,2.16,54.76,2.77,50.0,0.41,12.5,0.46,1.03,3.44,67.16,0,,0,,0,0,0,0.0,,,0.1,,,0.0,0.0,0.0,0.05,0,0.0,2021-22,RW,Extremo,3,Defensivo,1.6832749336630173,85.4,-1.6507548656925952,0.882339786939809
Portu,Real Sociedad,Real Sociedad,"RW, RAMF, CF",34,3500000,2027-06-30,37,1751,1,3.44,2,2.64,18.45,41.5,Spain,Spain,derecho,167,64,no,5.6,4.93,57.29,2.52,28.57,0.21,0.31,0.21,2.57,3.91,0.98,5,0.26,0,0.0,3.19,0.05,0,0.0,0.18,0,0.0,24,1.23,45.83,4.167,0.1,2.57,30.0,0.21,25.0,2.36,30.43,0.31,2.83,54.55,7.4,45.14,4.37,1.8,1.08,16.04,1.28,1.23,23.39,77.58,4.83,74.47,5.86,87.72,6.07,70.34,20.41,84.38,0.51,30.0,14.77,6.82,0.14,0.82,0.0,0.05,0.51,60.0,0.62,1.59,58.06,1.64,59.38,0.41,37.5,1.08,0.77,2.83,69.09,0,,0,,0,0,0,0.0,,,0.05,,,0.05,0.0,0.0,0.36,1,100.0,2021-22,RW,Extremo,1,Finalizador,1.8660429030671242,80.2,-0.38435065692657505,-0.3629561257279134
T. Kubo,Mallorca,Mallorca,"RW, RAMF, AMF",24,50000000,2029-06-30,28,1732,1,2.9,0,2.19,23.28,49.55,Japan,Japan,izquierdo,173,64,no,6.29,5.72,61.82,1.35,38.46,0.0,0.0,0.16,2.75,3.79,0.88,4,0.21,0,0.0,5.35,0.05,1,0.05,0.15,0,0.0,46,2.39,17.39,2.174,0.0,1.87,25.0,0.52,50.0,1.35,15.38,0.36,7.22,54.68,13.46,47.88,3.12,2.39,1.35,17.25,0.94,2.39,24.06,73.87,7.22,70.5,3.12,80.0,7.95,77.12,21.05,79.75,1.2,47.83,16.37,13.53,0.11,1.3,0.1,0.0,1.4,37.04,0.47,2.39,73.91,2.65,54.9,0.94,33.33,1.3,0.52,4.11,72.15,0,,0,,0,0,0,0.0,,,0.0,,,0.52,0.1,0.0,0.99,0,0.0,2021-22,RW,Extremo,1,Finalizador,1.9229120086167397,74.1,0.11716006040219933,0.020920850803835885
Rodrygo,Real Madrid,Real Madrid,"RWF, LWF, RW",25,0,2028-06-30,33,1646,4,4.19,4,3.24,20.67,45.77,Brazil,"Brazil, Spain",derecho,174,64,no,5.47,5.03,56.52,2.41,29.55,0.11,0.16,0.0,2.52,3.75,1.15,3,0.16,0,0.0,4.48,0.22,4,0.22,0.23,0,0.0,30,1.64,53.33,13.333,0.22,2.13,15.38,0.27,20.0,1.86,14.71,0.22,5.91,54.63,9.9,47.51,4.92,3.28,1.48,29.03,2.13,1.48,34.23,85.46,5.19,80.0,10.22,96.26,7.76,75.35,31.28,91.08,0.87,50.0,13.73,14.34,0.18,1.37,0.33,0.05,0.38,14.29,0.66,1.8,72.73,2.52,47.83,0.27,0.0,1.91,0.38,2.68,73.47,0,,0,,0,0,0,0.0,,,0.05,,,0.11,0.05,0.0,1.48,0,0.0,2021-22,RWF,Extremo,1,Finalizador,2.1000477552681796,63.0,1.7003975003367158,-0.583264819575074
Salvi Sánchez,Cádiz,Cádiz,"RW, LW",34,1200000,2026-06-30,23,1508,2,2.88,1,1.2,14.56,47.54,Spain,Spain,derecho,170,64,no,5.61,4.54,57.89,2.21,45.95,0.3,0.32,0.12,2.69,2.87,0.54,2,0.12,1,0.06,3.4,0.12,2,0.12,0.17,0,0.0,19,1.13,47.37,10.526,0.06,3.82,32.81,0.6,50.0,3.22,29.63,0.24,2.51,59.52,5.07,49.41,1.85,1.43,1.55,12.71,1.97,1.07,19.4,69.54,4.89,57.32,4.6,93.51,6.03,66.34,13.85,82.76,1.91,43.75,20.86,27.63,0.07,0.54,0.0,0.0,0.24,50.0,0.3,1.85,45.16,3.1,46.15,0.24,25.0,0.54,1.31,3.58,73.33,0,,0,,0,0,0,0.0,,,0.0,,,0.06,0.0,0.0,0.12,1,0.0,2021-22,RW,Extremo,3,Defensivo,2.517183117767129,34.8,-1.2562637560228032,0.6865533210030881
Ferrán Torres,Barcelona,Barcelona,"LWF, CF, RWF",25,0,2027-06-30,18,1507,4,6.56,4,2.49,15.29,41.41,Spain,Spain,derecho,184,77,no,2.69,2.09,45.71,2.09,42.86,0.06,0.1,0.12,1.67,2.86,0.66,1,0.06,0,0.0,4.18,0.24,3,0.18,0.39,0,0.0,50,2.99,40.0,8.0,0.24,1.07,33.33,0.66,27.27,0.36,33.33,0.18,4.18,51.43,8.42,41.84,5.37,2.09,0.54,29.92,2.69,1.19,33.5,85.56,6.03,70.3,11.05,95.14,8.9,87.25,31.17,87.93,1.31,68.18,15.42,26.07,0.15,0.66,0.0,0.06,1.13,42.11,0.54,2.69,86.67,1.79,46.67,1.02,29.41,1.19,0.36,3.58,88.33,0,,0,,0,0,0,0.0,,,0.18,,,0.18,0.18,0.0,0.12,1,100.0,2021-22,LWF,Extremo,1,Finalizador,3.008911317209279,23.5,2.1711665789425676,-3.4970370604174352
D. Machís,Granada,Granada,"LW, LAMF, CF",33,2000000,2027-12-31,25,1505,4,2.17,2,2.84,25.65,45.22,Venezuela,"Venezuela, Spain",derecho,171,65,no,6.1,5.5,57.61,2.21,43.24,0.0,0.0,0.06,2.93,3.93,1.2,2,0.12,0,0.0,6.64,0.24,4,0.24,0.13,0,0.0,36,2.15,44.44,11.111,0.12,3.95,42.42,3.53,44.07,0.42,28.57,0.54,7.71,50.39,14.53,41.56,2.09,2.81,1.61,15.49,1.44,1.67,24.34,70.02,6.4,56.07,4.25,88.73,9.15,71.24,18.36,78.18,2.21,48.65,20.24,29.66,0.17,0.9,0.06,0.0,0.3,40.0,0.66,2.75,63.04,3.05,52.94,0.54,44.44,0.36,1.61,4.96,78.31,0,,0,,0,0,0,0.0,,,0.0,,,0.12,0.06,0.0,0.66,0,0.0,2021-22,LW,Extremo,2,Asociativo,2.11852266225913,66.2,1.10732598457044,1.0405445129858537
Nico Williams,Athletic Club,Athletic Club,"RW, LW",23,0,2035-06-30,34,1497,0,3.61,0,1.73,27.47,44.64,Spain,"Spain, Ghana",derecho,181,67,no,5.89,6.61,50.91,1.62,25.93,0.0,0.0,0.18,2.53,3.61,1.38,4,0.24,0,0.0,6.97,0.0,0,0.0,0.22,0,0.0,31,1.86,32.26,0.0,0.0,3.91,23.08,0.84,42.86,3.07,17.65,0.6,9.8,54.6,15.81,46.01,4.03,3.13,1.5,18.22,1.62,1.38,26.75,73.93,4.27,69.01,8.78,91.1,8.36,61.87,22.12,83.97,1.02,29.41,16.74,14.2,0.1,0.84,0.0,0.0,0.36,33.33,0.54,1.2,65.0,3.07,39.22,0.3,40.0,0.78,1.02,3.73,67.74,0,,0,,0,0,0,0.0,,,0.06,,,0.0,0.0,0.0,0.24,0,0.0,2021-22,RW,Extremo,2,Asociativo,2.9197875974790097,22.1,1.1719215581345517,1.1010767731653477
O. Dembélé,Barcelona,Barcelona,RWF,29,0,2028-06-30,20,1487,1,2.5,12,8.17,20.94,54.91,France,"France, Mauritania",ambidiestro,178,67,no,4.12,3.99,62.12,0.48,37.5,0.12,0.21,0.0,1.51,2.6,0.61,3,0.18,0,0.0,10.23,0.06,1,0.06,0.15,0,0.0,44,2.66,22.73,2.273,0.73,6.48,30.84,0.73,16.67,5.69,32.98,1.09,10.59,64.57,14.95,54.25,4.66,6.11,2.42,35.95,3.21,0.91,44.49,78.37,7.81,71.32,7.99,92.42,17.01,76.16,36.74,87.64,1.76,51.72,18.8,31.3,0.49,2.3,0.12,0.06,1.39,56.52,1.51,2.72,82.22,5.99,49.49,1.39,43.48,2.42,1.82,6.66,85.45,0,,0,,0,0,0,0.0,,,0.12,,,0.54,0.06,0.0,2.84,0,0.0,2021-22,RWF,Extremo,0,Desbordador,6.4282376885020645,3.0,7.504225160810629,5.018662109162508
S. Chukwueze,Villarreal,Villarreal,RW,27,20000000,2028-06-30,27,1452,3,4.41,2,3.15,24.48,38.99,Nigeria,Nigeria,izquierdo,172,70,si,3.84,3.16,56.86,1.18,36.84,0.12,0.18,0.0,1.92,2.82,0.68,4,0.25,0,0.0,6.07,0.19,3,0.19,0.27,0,0.0,34,2.11,23.53,8.824,0.12,1.86,30.0,0.0,0.0,1.67,25.93,0.31,9.73,45.22,17.17,37.55,5.02,6.14,2.36,20.14,2.29,1.05,28.02,76.55,4.65,53.33,8.86,93.71,9.24,75.17,24.42,81.73,1.8,51.72,16.15,18.35,0.2,1.36,0.0,0.06,1.36,45.45,0.81,1.12,38.89,2.79,66.67,1.18,31.58,2.11,0.62,3.72,68.33,0,,0,,0,0,0,0.0,,,0.06,,,0.0,0.0,0.0,0.06,0,0.0,2021-22,RW,Extremo,0,Desbordador,2.938736359971239,51.5,4.2342452458502935,-0.3841413148151259
Moi Gómez,Villarreal,Villarreal,"LW, RW, CF",31,3500000,2027-06-30,29,1405,2,2.04,1,2.18,15.95,38.15,Spain,Spain,derecho,176,65,no,5.0,5.51,47.67,1.41,36.36,0.0,0.0,0.0,2.37,3.6,1.41,2,0.13,0,0.0,2.18,0.13,2,0.13,0.13,0,0.0,11,0.7,45.45,18.182,0.06,1.79,35.71,0.96,33.33,0.7,36.36,0.13,1.73,55.56,6.15,34.38,1.92,1.41,1.02,24.66,1.09,0.64,34.85,84.38,8.46,72.73,8.97,94.29,11.08,86.13,31.52,88.41,1.67,53.85,18.08,22.83,0.14,1.02,0.13,0.0,0.83,30.77,0.45,3.52,72.73,2.31,75.0,1.02,25.0,1.35,0.58,4.61,77.78,0,,0,,0,0,0,0.0,,,0.19,,,0.13,0.0,0.0,1.47,0,0.0,2021-22,LW,Extremo,3,Defensivo,1.5322697939100975,91.0,-1.8096415957585377,0.1338827014657276
Y. Musah,Valencia,Valencia,"RW, CF, LCMF",23,22000000,2028-06-30,29,1398,1,0.48,0,0.86,23.63,39.78,United States,"United States, England",derecho,178,71,si,6.05,6.44,50.0,2.83,29.55,0.19,0.27,0.06,2.64,3.7,1.42,5,0.32,0,0.0,3.41,0.06,1,0.06,0.03,0,0.0,7,0.45,28.57,14.286,0.0,1.87,20.69,0.13,50.0,1.61,20.0,0.06,5.15,55.0,11.14,39.31,1.8,3.67,2.12,14.36,1.29,1.03,22.85,76.34,6.24,73.2,4.12,87.5,7.6,77.97,20.28,81.27,0.97,66.67,16.38,19.03,0.06,0.45,0.13,0.0,0.13,50.0,0.32,2.32,80.56,1.29,40.0,0.19,33.33,0.64,0.32,3.48,79.63,0,,0,,0,0,0,0.0,,,0.26,,,0.0,0.0,0.0,0.13,0,0.0,2021-22,RW,Extremo,3,Defensivo,3.5453030019059266,7.9,-1.9610883290067012,0.9602847499959414
Alberto Moreno,Villarreal,Villarreal,"LW, LB",33,1800000,2026-06-30,24,1327,3,2.52,2,1.47,17.23,44.49,Spain,Spain,izquierdo,171,65,no,7.26,6.24,53.26,1.63,33.33,0.2,0.3,0.07,3.73,5.56,1.36,3,0.2,0,0.0,3.05,0.2,3,0.2,0.17,0,0.0,20,1.36,50.0,15.0,0.14,2.17,46.88,2.03,43.33,0.07,100.0,0.27,1.7,60.0,6.31,39.78,2.37,1.83,1.36,29.1,1.97,1.36,37.17,84.49,8.68,71.09,10.11,92.62,11.06,87.73,33.5,88.66,1.49,45.45,16.23,15.82,0.1,1.02,0.0,0.14,0.95,35.71,0.41,3.73,70.91,3.05,57.78,1.29,36.84,1.02,0.95,4.0,81.36,0,,0,,0,0,0,0.0,,,0.2,,,1.09,0.07,100.0,0.88,0,0.0,2021-22,LW,Extremo,3,Defensivo,2.2959026977324366,46.1,-1.4135809785419706,-0.056106287515634096
Nico Melamed,Espanyol,Espanyol,"LW, LAMF",24,0,2030-06-30,31,1267,2,1.28,0,1.18,25.15,42.66,Spain,"Spain, Argentina",derecho,173,66,no,5.68,7.46,51.43,3.05,18.6,0.43,0.63,0.07,1.42,2.09,1.85,4,0.28,1,0.07,2.91,0.14,2,0.14,0.09,0,0.0,21,1.49,19.05,9.524,0.0,0.99,28.57,0.92,30.77,0.07,0.0,0.14,4.12,48.28,10.51,44.59,2.06,2.34,1.21,21.67,1.49,2.42,29.27,87.86,6.32,77.53,7.67,96.3,9.16,88.37,26.57,90.64,1.78,76.0,16.28,22.24,0.08,0.78,0.07,0.07,0.43,83.33,0.28,2.77,82.05,1.35,73.68,0.71,70.0,0.92,0.28,3.2,75.56,0,,0,,0,0,0,0.0,,,0.0,,,0.07,0.0,0.0,0.57,0,0.0,2021-22,LW,Extremo,3,Defensivo,2.333516471187705,42.7,-1.7354830592727457,-0.6870411837732171
J. Corona,Sevilla,Sevilla,"LAMF, RWF, LWF",33,3500000,,18,1250,2,2.61,2,2.51,22.03,42.81,Mexico,"Mexico, Portugal",derecho,173,70,no,4.75,3.17,56.82,1.58,36.36,0.36,0.58,0.0,2.59,4.2,0.79,2,0.14,0,0.0,4.54,0.14,2,0.14,0.19,1,0.07,11,0.79,27.27,18.182,0.14,3.67,27.45,1.66,21.74,2.02,32.14,0.65,5.69,53.16,13.61,41.27,3.38,2.23,0.58,28.8,2.16,1.94,40.97,80.14,9.07,69.05,14.4,92.0,10.22,73.24,35.06,87.47,2.38,48.48,16.57,28.48,0.18,1.15,0.07,0.0,0.65,44.44,0.58,2.81,69.23,3.53,40.82,0.72,50.0,1.08,1.01,5.54,70.13,0,,0,,0,0,0,0.0,,,0.22,,,0.07,0.0,0.0,0.79,0,0.0,2021-22,LAMF,Extremo,2,Asociativo,1.1043145203181555,100.0,0.5798866187384757,0.823222217524732
Hélder Costa,Valencia,Valencia,"RW, LW",32,2000000,,22,1218,0,0.33,1,1.46,24.75,41.49,Angola,"Angola, Portugal",izquierdo,179,77,no,8.05,8.79,53.78,1.7,30.43,0.22,0.28,0.0,3.1,3.93,1.92,3,0.22,0,0.0,4.36,0.0,0,0.0,0.02,0,0.0,8,0.59,25.0,0.0,0.07,3.4,39.13,1.33,44.44,2.07,35.71,0.44,5.76,47.44,10.34,40.0,2.36,2.29,1.63,12.93,1.48,1.03,20.25,74.09,5.47,66.22,3.99,96.3,5.84,73.42,16.33,82.35,0.67,55.56,18.19,11.12,0.11,0.96,0.07,0.0,0.15,100.0,0.59,2.0,74.07,2.51,55.88,0.22,66.67,1.11,1.11,3.84,73.08,0,,0,,0,0,0,0.0,,,0.0,,,0.07,0.0,0.0,0.67,0,0.0,2021-22,RW,Extremo,3,Defensivo,3.297459728173798,10.1,-1.7406475161778736,2.1727221955130824
Iván Alejo,Cádiz,Cádiz,"RW, RAMF",30,1500000,2027-06-30,20,1154,2,1.48,2,2.4,34.0,44.72,Spain,Spain,derecho,186,79,no,8.97,12.09,47.74,2.18,50.0,0.23,0.29,0.0,2.96,3.67,2.65,7,0.55,0,0.0,7.64,0.16,2,0.16,0.12,0,0.0,12,0.94,33.33,16.667,0.16,7.95,31.37,0.23,0.0,7.72,32.32,1.33,9.59,50.41,15.05,43.52,1.48,3.98,2.34,14.12,1.72,2.5,24.64,61.39,5.77,58.11,4.45,89.47,9.59,52.03,15.29,79.08,1.95,36.0,21.08,28.91,0.19,1.33,0.16,0.0,0.16,0.0,1.09,2.65,61.76,5.69,36.99,0.08,0.0,0.23,2.42,4.91,73.02,0,,0,,0,0,0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,2021-22,RW,Extremo,2,Asociativo,6.368650206530537,1.3,1.823070460062071,5.522398637602181
O. Idrissi,Cádiz,Cádiz,"LW, LAMF",29,0,2028-06-30,17,1122,1,2.16,1,2.39,19.41,45.04,Netherlands,"Netherlands, Morocco",derecho,183,78,no,4.97,4.17,57.69,0.88,18.18,0.48,0.71,0.0,2.09,3.06,1.12,3,0.24,0,0.0,6.74,0.08,1,0.08,0.17,0,0.0,24,1.93,37.5,4.167,0.08,2.65,39.39,2.65,39.39,0.0,0.0,0.56,8.5,56.6,11.71,47.95,2.97,3.85,0.88,21.74,1.36,0.56,31.6,79.44,5.94,67.57,7.94,92.93,12.51,80.13,27.19,84.96,1.76,54.55,16.75,25.59,0.19,1.6,0.08,0.0,0.32,50.0,0.72,2.25,60.71,3.53,45.45,0.48,50.0,1.04,1.04,4.09,92.16,0,,0,,0,0,0,0.0,,,0.24,,,0.4,0.0,0.0,1.84,0,0.0,2021-22,LW,Extremo,2,Asociativo,2.052676308758303,70.1,1.7839450634121414,1.0656469215440372
E. Lamela,Sevilla,Sevilla,"RWF, RAMF",33,2000000,,20,1113,5,3.33,2,1.69,26.44,41.59,Argentina,"Argentina, Spain",izquierdo,181,80,no,9.06,7.6,61.7,1.94,37.5,1.62,2.67,0.0,2.75,4.53,1.7,5,0.4,0,0.0,3.88,0.4,5,0.4,0.27,0,0.0,24,1.94,54.17,20.833,0.16,1.13,35.71,0.0,0.0,1.13,35.71,0.16,3.88,43.75,11.89,31.29,3.56,1.86,1.37,26.93,1.54,0.97,37.28,88.5,8.33,85.44,10.75,96.24,10.19,90.48,35.26,90.37,0.89,81.82,14.75,15.28,0.14,1.29,0.08,0.0,0.81,90.0,0.65,2.59,93.75,1.37,70.59,0.49,83.33,1.05,0.4,3.15,74.36,0,,0,,0,0,0,0.0,,,0.08,,,0.16,0.0,0.0,0.49,0,0.0,2021-22,RWF,Extremo,1,Finalizador,2.72627324872385,33.3,0.16276698277617402,-2.302005766264634
Bebé,Rayo Vallecano,Rayo Vallecano,"RAMF, LAMF, RW",35,600000,2026-06-30,29,1009,1,1.71,2,2.09,25.33,43.66,Portugal,"Portugal, Cape Verde Islands",derecho,190,83,no,4.37,3.75,40.48,2.32,38.46,0.0,0.0,0.0,2.85,4.51,0.98,2,0.18,0,0.0,7.14,0.09,1,0.09,0.15,0,0.0,49,4.37,14.29,2.041,0.18,5.35,23.33,1.78,40.0,3.57,15.0,0.45,8.74,59.18,16.06,46.11,2.14,4.19,3.21,16.86,1.87,1.43,25.15,69.5,3.75,54.76,6.24,92.86,9.45,57.55,18.37,84.95,1.87,38.1,18.86,21.65,0.19,1.43,0.09,0.0,0.54,16.67,0.54,1.96,72.73,3.92,29.55,0.8,11.11,0.27,1.52,3.3,62.16,0,,0,,0,0,0,0.0,,,0.18,,,2.32,0.98,9.09,1.96,0,0.0,2021-22,RAMF,Extremo,0,Desbordador,4.405443860713317,18.2,3.4912977860132712,1.8552393382572325
Javi Martínez,Osasuna,Osasuna,"RW, RCMF, LCMF",26,1200000,2027-06-30,26,993,1,1.32,1,1.1,19.67,44.7,Spain,Spain,derecho,181,68,no,7.43,7.61,57.14,2.18,37.5,0.18,0.21,0.09,2.9,3.33,1.45,1,0.09,0,0.0,2.18,0.09,1,0.09,0.12,0,0.0,8,0.73,25.0,12.5,0.09,2.45,33.33,0.36,0.0,2.08,39.13,0.18,2.18,54.17,6.16,36.76,2.27,1.27,1.36,21.57,0.73,0.82,35.35,77.69,9.7,61.68,6.53,97.22,10.79,79.83,31.27,82.32,1.72,52.63,17.67,17.75,0.1,0.91,0.09,0.0,0.36,0.0,0.45,3.44,81.58,2.08,43.48,0.27,0.0,0.27,0.82,6.16,69.12,0,,0,,0,0,0,0.0,,,0.0,,,0.36,0.0,0.0,0.45,0,0.0,2021-22,RW,Extremo,3,Defensivo,1.446616039928826,93.3,-2.2682635213212228,0.48049448876097584
T. Vilhena,Espanyol,Espanyol,"LW, LB, LAMF",30,3000000,2027-06-30,17,986,1,1.11,1,0.71,18.8,41.75,Netherlands,"Netherlands, Angola",izquierdo,175,75,no,7.94,6.94,57.89,2.19,41.67,0.46,0.57,0.27,3.47,4.33,1.46,4,0.37,0,0.0,1.92,0.09,1,0.09,0.1,0,0.0,15,1.37,20.0,6.667,0.09,1.64,27.78,1.46,25.0,0.18,50.0,0.09,2.19,54.17,6.85,33.33,2.01,1.64,0.82,19.08,1.46,0.73,28.94,74.13,7.76,63.53,5.66,85.48,8.12,74.16,24.55,79.93,2.83,48.39,17.56,34.81,0.06,0.82,0.0,0.0,0.09,0.0,0.37,3.74,60.98,2.1,30.43,0.64,14.29,0.37,0.46,4.75,57.69,0,,0,,0,0,0,0.0,,,0.18,,,0.27,0.0,0.0,1.37,0,0.0,2021-22,LW,Extremo,3,Defensivo,0.9726883296033946,100.0,-2.636133895858749,-0.20091642277163815
A. Ndiaye,Mallorca,Mallorca,"LW, LAMF, RW",29,1500000,2027-06-30,19,982,0,0.99,1,1.75,24.01,40.84,Senegal,"Senegal, Spain",derecho,173,70,no,7.61,6.42,57.14,2.29,20.0,0.73,1.06,0.0,3.21,4.63,1.65,5,0.46,0,0.0,3.85,0.0,0,0.0,0.09,0,0.0,10,0.92,40.0,0.0,0.09,0.73,37.5,0.18,0.0,0.55,50.0,0.09,4.22,63.04,9.81,40.19,1.92,2.11,0.82,12.92,0.82,1.56,18.51,81.19,4.22,67.39,4.58,94.0,4.22,89.13,17.51,83.25,0.37,50.0,14.8,8.41,0.16,0.55,0.09,0.0,1.01,54.55,0.27,1.19,61.54,1.01,72.73,0.55,66.67,0.82,0.27,1.83,80.0,0,,0,,0,0,0,0.0,,,0.0,,,0.0,0.0,0.0,0.09,0,0.0,2021-22,LW,Extremo,3,Defensivo,2.1674446224149544,57.3,-2.621572746562098,0.16645594787986145
Rodri Sánchez,Real Betis,Real Betis,"RAMF, RW, LAMF",25,3000000,2027-06-30,21,962,1,1.77,2,1.29,17.78,44.21,Spain,Spain,izquierdo,175,62,no,4.96,4.3,60.87,1.03,0.0,0.0,0.0,0.0,2.34,3.41,0.19,1,0.09,0,0.0,4.4,0.09,1,0.09,0.17,0,0.0,15,1.4,46.67,6.667,0.19,1.4,26.67,0.28,0.0,1.12,33.33,0.19,4.77,58.82,10.01,46.73,2.62,1.5,0.75,29.28,1.87,1.4,37.52,85.04,10.48,79.46,7.95,95.29,11.51,85.37,34.71,88.68,1.4,53.33,17.33,16.58,0.12,1.22,0.09,0.0,0.94,60.0,0.47,4.3,86.96,2.99,53.13,1.68,44.44,1.68,0.37,5.89,88.89,0,,0,,0,0,0,0.0,,,0.37,,,0.0,0.0,0.0,0.09,0,0.0,2021-22,RAMF,Extremo,3,Defensivo,2.032278948850862,64.0,-0.6738823839823768,-0.1189158957195969
M. Uzuni,Granada,Granada,"LW, CF, LWF",30,0,2027-12-31,15,938,1,1.6,1,0.96,19.86,37.68,Albania,Albania,derecho,178,70,no,7.0,5.95,53.23,2.69,21.43,0.19,0.24,0.29,3.65,4.65,1.25,4,0.38,0,0.0,2.59,0.1,1,0.1,0.15,0,0.0,11,1.06,18.18,9.091,0.1,1.44,26.67,0.58,0.0,0.86,44.44,0.1,3.65,55.26,7.39,35.06,2.4,1.82,0.67,11.32,1.44,1.15,18.61,74.74,4.89,58.82,3.93,85.37,6.14,79.69,16.02,80.24,1.15,58.33,18.02,18.31,0.09,0.58,0.1,0.0,0.1,0.0,0.38,1.44,40.0,1.44,33.33,0.19,0.0,0.38,0.48,2.4,72.0,0,,0,,0,0,0,0.0,,,0.1,,,0.0,0.0,0.0,0.29,0,0.0,2021-22,LW,Extremo,3,Defensivo,1.2788048814545614,97.8,-2.271932203048019,-0.5772314680844903
Kike Barja,Osasuna,Osasuna,"RW, LW, RAMF",29,2000000,2028-06-30,21,934,2,1.79,0,0.16,32.28,44.48,Spain,Spain,derecho,179,69,no,8.0,6.75,51.43,2.12,45.45,1.06,1.5,0.1,3.47,4.91,1.64,2,0.19,0,0.0,7.32,0.19,2,0.19,0.17,1,0.1,16,1.54,37.5,12.5,0.0,5.88,21.31,2.12,13.64,3.76,25.64,0.96,10.7,50.45,18.79,42.56,2.79,2.6,0.87,22.55,2.79,2.22,33.24,72.17,7.32,75.0,7.23,93.33,12.53,62.31,25.73,84.27,2.31,54.17,20.22,30.85,0.02,0.19,0.1,0.1,0.58,16.67,0.1,3.08,81.25,5.11,33.96,0.48,40.0,0.67,1.16,5.11,84.91,0,,0,,0,0,0,0.0,,,0.48,,,0.1,0.0,0.0,0.29,0,0.0,2021-22,RW,Extremo,2,Asociativo,4.32277613014994,3.9,0.149176127020897,1.8410326734619464
